YEAR,SUNACTIVITY,SUNACTIVITY_norm
1770.0,100.8,0.5299684542586751
1771.0,81.6,0.42902208201892744
1772.0,66.5,0.34963196635120924
1773.0,34.8,0.1829652996845426
1774.0,30.6,0.16088328075709782
1775.0,7.0,0.03680336487907466
1776.0,19.8,0.10410094637223975
1777.0,92.5,0.48633017875920087
1778.0,154.4,0.811777076761304
1779.0,125.9,0.6619348054679286
1780.0,84.8,0.4458464773922187
1781.0,68.1,0.3580441640378549
1782.0,38.5,0.20241850683491064
1783.0,22.8,0.11987381703470032
1784.0,10.2,0.05362776025236593
1785.0,24.1,0.1267087276550999
1786.0,82.9,0.4358569926393271
1787.0,132.0,0.694006309148265
1788.0,130.9,0.6882229232386962
1789.0,118.1,0.620925341745531
1790.0,89.9,0.47266035751840174
1791.0,66.6,0.3501577287066246
1792.0,60.0,0.3154574132492114
1793.0,46.9,0.2465825446898002
1794.0,41.0,0.21556256572029445
1795.0,21.3,0.11198738170347004
1796.0,16.0,0.08412197686645637
1797.0,6.4,0.03364879074658255
1798.0,4.1,0.02155625657202944
1799.0,6.8,0.035751840168243953
1800.0,14.5,0.07623554153522608
1801.0,34.0,0.17875920084121977
1802.0,45.0,0.23659305993690852
1803.0,43.1,0.22660357518401683
1804.0,47.5,0.24973711882229233
1805.0,42.2,0.2218717139852787
1806.0,28.1,0.147739221871714
1807.0,10.1,0.05310199789695058
1808.0,8.1,0.04258675078864353
1809.0,2.5,0.013144058885383808
1810.0,0.0,0.0
1811.0,1.4,0.007360672975814932
1812.0,5.0,0.026288117770767616
1813.0,12.2,0.06414300736067298
1814.0,13.9,0.07308096740273397
1815.0,35.4,0.1861198738170347
1816.0,45.8,0.24079915878023134
1817.0,41.1,0.2160883280757098
1818.0,30.1,0.15825446898002105
1819.0,23.9,0.1256572029442692
1820.0,15.6,0.08201892744479496
1821.0,6.6,0.03470031545741325
1822.0,4.0,0.02103049421661409
1823.0,1.8,0.00946372239747634
1824.0,8.5,0.04468980021030494
1825.0,16.6,0.08727655099894849
1826.0,36.3,0.19085173501577288
1827.0,49.6,0.26077812828601477
1828.0,64.2,0.33753943217665616
1829.0,67.0,0.35226077812828605
1830.0,70.9,0.3727655099894848
1831.0,47.8,0.2513144058885384
1832.0,27.5,0.1445846477392219
1833.0,8.5,0.04468980021030494
1834.0,13.2,0.0694006309148265
1835.0,56.9,0.29915878023133546
1836.0,121.5,0.638801261829653
1837.0,138.3,0.7271293375394323
1838.0,103.2,0.5425867507886436
1839.0,85.7,0.4505783385909569
1840.0,64.6,0.33964248159831756
1841.0,36.7,0.1929547844374343
1842.0,24.2,0.12723449001051526
1843.0,10.7,0.05625657202944269
1844.0,15.0,0.07886435331230285
1845.0,40.1,0.21083070452155628
1846.0,61.5,0.3233438485804417
1847.0,98.5,0.517875920084122
1848.0,124.7,0.6556256572029443
1849.0,96.3,0.5063091482649842
1850.0,66.6,0.3501577287066246
1851.0,64.5,0.3391167192429022
1852.0,54.1,0.2844374342797056
1853.0,39.0,0.20504731861198738
1854.0,20.6,0.10830704521556257
1855.0,6.7,0.035226077812828605
1856.0,4.3,0.02260778128286015
1857.0,22.7,0.11934805467928497
1858.0,54.8,0.288117770767613
1859.0,93.8,0.4931650893796004
1860.0,95.8,0.5036803364879074
1861.0,77.2,0.405888538380652
1862.0,59.1,0.3107255520504732
1863.0,44.0,0.231335436382755
1864.0,47.0,0.24710830704521558
1865.0,30.5,0.16035751840168244
1866.0,16.3,0.08569926393270243
1867.0,7.3,0.03838065194532072
1868.0,37.6,0.19768664563617247
1869.0,74.0,0.3890641430073607
1870.0,139.0,0.7308096740273397
1871.0,111.2,0.5846477392218717
1872.0,101.6,0.5341745531019979
1873.0,66.2,0.34805467928496325
1874.0,44.7,0.2350157728706625
1875.0,17.0,0.08937960042060988
1876.0,11.3,0.05941114616193481
1877.0,12.4,0.06519453207150369
1878.0,3.4,0.017875920084121977
1879.0,6.0,0.031545741324921134
1880.0,32.3,0.16982124079915878
1881.0,54.3,0.2854889589905363
1882.0,59.7,0.31388012618296535
1883.0,63.7,0.3349106203995794
1884.0,63.5,0.3338590956887487
1885.0,52.2,0.2744479495268139
1886.0,25.4,0.13354363827549948
1887.0,13.1,0.06887486855941115
1888.0,6.8,0.035751840168243953
1889.0,6.3,0.033123028391167195
1890.0,7.1,0.03732912723449001
1891.0,35.6,0.18717139852786543
1892.0,73.0,0.38380651945320715
1893.0,85.1,0.44742376445846477
1894.0,78.0,0.41009463722397477
1895.0,64.0,0.33648790746582546
1896.0,41.8,0.21976866456361724
1897.0,26.2,0.1377497371188223
1898.0,26.7,0.14037854889589907
1899.0,12.1,0.06361724500525763
1900.0,9.5,0.049947423764458466
1901.0,2.7,0.014195583596214513
1902.0,5.0,0.026288117770767616
1903.0,24.4,0.12828601472134596
1904.0,42.0,0.22082018927444796
1905.0,63.5,0.3338590956887487
1906.0,53.8,0.28286014721345953
1907.0,62.0,0.32597266035751843
1908.0,48.5,0.25499474237644587
1909.0,43.9,0.23080967402733965
1910.0,18.6,0.09779179810725554
1911.0,5.7,0.02996845425867508
1912.0,3.6,0.01892744479495268
1913.0,1.4,0.007360672975814932
1914.0,9.6,0.050473186119873815
1915.0,47.4,0.24921135646687698
1916.0,57.1,0.30021030494216616
1917.0,103.9,0.546267087276551
1918.0,80.6,0.4237644584647739
1919.0,63.6,0.33438485804416407
1920.0,37.6,0.19768664563617247
1921.0,26.1,0.13722397476340695
1922.0,14.2,0.07465825446898001
1923.0,5.8,0.030494216614090432
1924.0,16.7,0.08780231335436382
1925.0,44.3,0.23291272344900105
1926.0,63.9,0.3359621451104101
1927.0,69.0,0.3627760252365931
1928.0,77.8,0.40904311251314407
1929.0,64.9,0.34121976866456366
1930.0,35.7,0.18769716088328078
1931.0,21.2,0.11146161934805468
1932.0,11.1,0.0583596214511041
1933.0,5.7,0.02996845425867508
1934.0,8.7,0.04574132492113565
1935.0,36.1,0.18980021030494218
1936.0,79.7,0.4190325972660358
1937.0,114.4,0.601472134595163
1938.0,109.6,0.576235541535226
1939.0,88.8,0.4668769716088328
1940.0,67.8,0.35646687697160884
1941.0,47.5,0.24973711882229233
1942.0,30.6,0.16088328075709782
1943.0,16.3,0.08569926393270243
1944.0,9.6,0.050473186119873815
1945.0,33.2,0.17455310199789698
1946.0,92.6,0.48685594111461616
1947.0,151.6,0.7970557308096741
1948.0,136.3,0.7166140904311252
1949.0,134.7,0.7082018927444794
1950.0,83.9,0.4411146161934806
1951.0,69.4,0.36487907465825453
1952.0,31.5,0.16561514195583596
1953.0,13.9,0.07308096740273397
1954.0,4.4,0.0231335436382755
1955.0,38.0,0.19978969505783387
1956.0,141.7,0.7450052576235542
1957.0,190.2,1.0
1958.0,184.8,0.971608832807571
1959.0,159.0,0.8359621451104101
1960.0,112.3,0.5904311251314406
1961.0,53.9,0.2833859095688749
1962.0,37.6,0.19768664563617247
1963.0,27.9,0.14668769716088328
1964.0,10.2,0.05362776025236593
1965.0,15.1,0.0793901156677182
1966.0,47.0,0.24710830704521558
1967.0,93.8,0.4931650893796004
1968.0,105.9,0.5567823343848581
1969.0,105.5,0.5546792849631966
1970.0,104.5,0.5494216614090431
1971.0,66.6,0.3501577287066246
1972.0,68.9,0.36225026288117773
1973.0,38.0,0.19978969505783387
1974.0,34.5,0.18138801261829654
1975.0,15.5,0.08149316508937961
1976.0,12.6,0.06624605678233439
1977.0,27.5,0.1445846477392219
1978.0,92.5,0.48633017875920087
1979.0,155.4,0.8170347003154574
1980.0,154.6,0.8128286014721346
1981.0,140.4,0.7381703470031546
1982.0,115.9,0.6093585699263934
1983.0,66.6,0.3501577287066246
1984.0,45.9,0.24132492113564669
1985.0,17.9,0.09411146161934805
1986.0,13.4,0.07045215562565721
1987.0,29.4,0.15457413249211358
1988.0,100.2,0.526813880126183
1989.0,157.6,0.8286014721345952
1990.0,142.6,0.7497371188222923
1991.0,145.7,0.7660357518401683
1992.0,94.3,0.4957939011566772
1993.0,54.6,0.2870662460567824
1994.0,29.9,0.15720294426919032
1995.0,17.5,0.09200841219768666
1996.0,8.6,0.0452155625657203
1997.0,21.5,0.11303890641430074
1998.0,64.3,0.3380651945320715
1999.0,93.3,0.49053627760252366
2000.0,119.6,0.6288117770767613
2001.0,111.0,0.583596214511041
2002.0,104.0,0.5467928496319664
2003.0,63.7,0.3349106203995794
2004.0,40.4,0.21240799158780233
2005.0,29.8,0.156677181913775
2006.0,15.2,0.07991587802313355
2007.0,7.5,0.039432176656151424
2008.0,2.9,0.015247108307045216
